Name,Brand,Scent Profile,Likes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
dior-homme-cologne-2022,dior,,2185,,,,,men,4.53,,,,,,,,
dior-homme-eau-for-men,dior,,2766,,,,,men,4.32,,,,,,,,
dior-homme-intense-2011,dior,,18272,,,,,men,4.5,,,,,,,,
dior-homme-parfum,dior,,7676,,,,,men,4.55,,,,,,,,
dior-homme-sport,dior,,3190,,,,,men,4.22,,,,,,,,
dior-homme-sport-2012,dior,,2512,,,,,men,4.34,,,,,,,,
dior-homme-sport-2017,dior,,2013,,,,,men,4.1,,,,,,,,
dior-homme-sport-2021,dior,,3316,,,,,men,4.34,,,,,,,,
dolce-gabbana-pour-homme-1994,dolce-gabbana,,3369,,,,,men,4.24,,,,,,,,
dolce-gabbana-pour-homme-2012,dolce-gabbana,,4081,,,,,men,4.16,,,,,,,,
dolce-gabbana-pour-homme-intenso,dolce-gabbana,,3009,,,,,men,3.78,,,,,,,,
dreamer-the-original-edition,versace,,5140,,,,,men,4.08,,,,,,,,
dune-pour-homme,dior,,2204,,,,,men,4.2,,,,,,,,
eau-de-soleil-blanc,tom-ford,,3420,,,,,unisex,4.09,,,,,,,,
eau-noire,dior,,1046,,,,,unisex,4.11,,,,,,,,
eau-sauvage,dior,,5385,,,,,men,4.23,,,,,,,,
eau-sauvage-cologne,dior,,1077,,,,,men,4.17,,,,,,,,
eau-sauvage-extreme,dior,,1161,,,,,men,4.18,,,,,,,,
eau-sauvage-parfum,dior,,2569,,,,,men,4.35,,,,,,,,
eau-sauvage-parfum-2017,dior,,1936,,,,,men,4.38,,,,,,,,
ebene-fume,tom-ford,,2014,,,,,unisex,4.09,,,,,,,,
egoiste,chanel,,6511,,,,,men,4.21,,,,,,,,
egoiste-platinum,chanel,,10102,,,,,men,4.22,,,,,,,,
emporio-armani-diamonds-for-men,giorgio-armani,,1830,,,,,men,4.06,,,,,,,,
emporio-armani-lui,giorgio-armani,,1422,,,,,men,4.15,,,,,,,,
emporio-armani-stronger-with-you,giorgio-armani,,7001,,,,,men,4.28,,,,,,,,
emporio-armani-stronger-with-you-absolutely,giorgio-armani,,4379,,,,,men,4.51,,,,,,,,
emporio-armani-stronger-with-you-intensely,giorgio-armani,,9587,,,,,men,4.57,,,,,,,,
erolfa,creed,,1810,,,,,men,4.11,,,,,,,,
eros,versace,,20788,,,,,men,4.08,,,,,,,,
eros-eau-de-parfum,versace,,4711,,,,,men,4.35,,,,,,,,
eros-flame,versace,,9687,,,,,men,4.3,,,,,,,,
eros-parfum,versace,,1439,,,,,men,4.28,,,,,,,,
fahrenheit,dior,,18355,,,,,men,4.03,,,,,,,,
fahrenheit-32,dior,,2348,,,,,men,4.06,,,,,,,,
fahrenheit-le-parfum,dior,,4141,,,,,men,4.3,,,,,,,,
feve-delicieuse,dior,,2864,,,,,unisex,4.26,,,,,,,,
feve-delicieuse-2018,dior,,1121,,,,,unisex,4.18,,,,,,,,
figuier-eden,giorgio-armani,,1214,,,,,unisex,4.22,,,,,,,,
fleur-de-portofino,tom-ford,,1118,,,,,unisex,4.04,,,,,,,,
fleur-du-male,jean-paul-gaultier,,2631,,,,,men,4.13,,,,,,,,
fucking-fabulous,tom-ford,,6592,,,,,unisex,3.8,,,,,,,,
galloway,parfums-de-marly,,1580,,,,,unisex,4.06,,,,,,,,
godolphin,parfums-de-marly,,2009,,,,,men,4.18,,,,,,,,
