Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
antidote,viktor rolf,,1217,,,,,men,4.25,,,,warm spicy,aromatic,woody,fresh spicy,amber
apollonia,xerjoff,,1107,,,,,unisex,4.2,,,,powdery,musky,iris,white floral,earthy
aqua celestia,maison francis kurkdjian,,1482,,,,,unisex,3.91,,,,green,citrus,aromatic,musky,powdery
aqua celestia forte,maison francis kurkdjian,,984,,,,,unisex,4.08,,,,citrus,green,aromatic,white floral,floral
aqua fahrenheit,dior,,2130,,,,,men,4.17,,,,citrus,aromatic,fresh spicy,green,violet
aqua media cologne forte,maison francis kurkdjian,,774,,,,,unisex,3.81,,,,citrus,green,fresh,soft spicy,powdery
aqua universalis forte,maison francis kurkdjian,,1693,,,,,unisex,4.01,,,,white floral,citrus,musky,aromatic,powdery
aqua vitae forte,maison francis kurkdjian,,1174,,,,,unisex,3.91,,,,citrus,warm spicy,woody,aromatic,yellow floral
armani,giorgio armani,,748,,,,,women,4.3,,,,green,aromatic,woody,balsamic,amber
armani attitude,giorgio armani,,1579,,,,,men,4.37,,,,warm spicy,woody,amber,patchouli,coffee
armani code,giorgio armani,,10335,,,,,men,4.17,,,,citrus,leather,anis,soft spicy,floral
armani code absolu,giorgio armani,,3940,,,,,men,4.39,,,,vanilla,powdery,sweet,amber,fresh spicy
armani code cashmere,giorgio armani,,1582,,,,,women,4.17,,,,almond,white floral,powdery,leather,nutty
armani code colonia,giorgio armani,,1211,,,,,men,3.95,,,,citrus,amber,vanilla,aromatic,sweet
armani code eau de parfum,giorgio armani,,1466,,,,,men,4.35,,,,vanilla,citrus,aromatic,musky,powdery
armani code for women,giorgio armani,,13821,,,,,women,3.98,,,,citrus,white floral,sweet,vanilla,honey
armani code luna,giorgio armani,,1121,,,,,women,3.87,,,,citrus,vanilla,sweet,white floral,floral
armani code parfum,giorgio armani,,3236,,,,,men,4.37,,,,iris,aromatic,powdery,woody,citrus
armani code profumo,giorgio armani,,4883,,,,,men,4.24,,,,amber,vanilla,warm spicy,aromatic,leather
armani code satin,giorgio armani,,1561,,,,,women,4.16,,,,sweet,warm spicy,white floral,vanilla,cacao
armani code sport,giorgio armani,,1481,,,,,men,4.06,,,,citrus,aromatic,green,warm spicy,fresh
armani code ultimate,giorgio armani,,1047,,,,,men,4.21,,,,vanilla,woody,powdery,sweet,floral
armani eau de cedre,giorgio armani,,1291,,,,,men,4.26,,,,woody,aromatic,green,ozonic,citrus
armani eau de nuit,giorgio armani,,1371,,,,,men,4.22,,,,powdery,vanilla,iris,amber,warm spicy
armani eau pour homme,giorgio armani,,1551,,,,,men,4.24,,,,citrus,aromatic,fresh spicy,woody,earthy
armani eau pour homme new,giorgio armani,,972,,,,,men,4.14,,,,citrus,fresh spicy,warm spicy,woody,aromatic
armani mania,giorgio armani,,1485,,,,,men,4.31,,,,woody,citrus,musky,warm spicy,aromatic
